,audio_url,label
0,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-18%2F64d79ae9-ba94-401d-b4eb-936a11f32667%2F4a705c73-d178-4c23-85c0-456e3906814e.flac,silent
1,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-18%2Fce35f8f7-3a57-49cc-bc33-4c7a345e6ff2%2Fe9f00235-d0b9-4132-98ef-a31abb61d912.flac,silent
2,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-19%2Fce51a932-3195-448a-9a50-34c38d081816%2F0736fc1e-77f1-411c-b14a-fa00ac9f414d.flac,silent
3,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-18%2Fd91f82dd-fdc8-4d9b-9373-ed15cb17c2d2%2Fb6ecec7c-9b0e-4760-bd4b-7d4f8b505cbb.flac,confirm
4,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-19%2F2202b9df-d08d-4585-aaec-c1bf165aaea6%2F125460d9-4529-4eb4-a2eb-d069db361c19.flac,silent
5,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-19%2Fa96c65e2-81de-4ead-82b7-91117fc92479%2Fd2565800-1a44-48b0-b51d-dc3e14273251.flac,silent
6,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-18%2Fce40a9c9-2ba2-4b99-9bcd-129f8605f533%2F1ea35aca-ba43-4290-b6cd-fba41bb1f0e7.flac,silent
7,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-19%2Fb80b55e2-ca0a-45fc-93ac-75077c312635%2Fc2c24b1c-ed83-4d18-b239-89d8906cbec3.flac,cancel
8,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-19%2Ff617ad90-5e2f-4633-9dcb-21865df2e3d1%2F302fb617-eacd-4a36-83c4-b4330b238119.flac,silent
9,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-19%2F55a88773-46e3-43c7-89da-0c757917b69b%2F391c1690-8c4f-4514-a40e-00981f080940.flac,noise
10,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-19%2F7d1e8b9d-2da1-47f1-ac0e-1f8ce6b78864%2F9416c72e-cbb6-4aef-80ff-a2125d57033c.flac,confirm
11,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-19%2F7fe3b624-b4ae-4aef-8fd2-8b3a52a051c0%2F5b31991a-a3ba-421d-b019-9391adc52358.flac,silent
12,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-19%2F313c19c4-ff1d-42ba-bc90-2892f1e5e3cc%2F7e5b6b56-9c1d-4027-be1f-2155ab757789.flac,noise
13,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-19%2F246049c7-e4bf-4c25-bab6-2e94136a59d6%2F2edac9d7-47ba-4331-860d-8976b5fcf181.flac,silent
14,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-19%2F1b0fd67d-c675-4620-ac13-96cd0384fd38%2F8f8d10ab-4d9d-4319-9b57-8760b27f5acc.flac,cancel
15,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-20%2Fb97232c9-6bee-4366-9621-52470ad03ae2%2F1e2dfea5-396a-4809-847b-61043596b11a.flac,silent
16,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-19%2F001f7281-e3db-485e-971f-5046bf33576d%2Fcbfd0718-cd0e-4155-9ba5-feec7a88eac5.flac,confirm
17,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-20%2F7dca4da2-3a68-4053-bf2a-c3cca5be7725%2Ffa0e258d-aa2e-48e7-ab79-128d77fad4de.flac,confirm
18,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-20%2F409ab860-4dd4-442a-88f4-cac55db1d5d2%2F0228fdb0-6d7e-42ce-a5d4-b1c5db3127de.flac,confirm
19,https://s3.ap-south-1.amazonaws.com/hermes-cca%2F2020-11-20%2F3676693a-a133-4cd9-8a23-f5a7661f6c01%2F9a353db3-87d7-418d-a2e1-40853983316a.flac,silent
