audio_path,label
scripts/435/hermes-cca%2F2021-03-03%2Fc63ee5f4-d309-4d58-ae06-57147ce5fb0a%2F48f628cc-e517-4ccd-8043-b5a8853a4fa0.flac,silent
scripts/435/hermes-cca%2F2021-03-03%2F689665bf-e85b-421c-9990-8edc5de629ba%2F6d1111db-3e1a-4c93-b3fe-10299d276ded.flac,cancel
scripts/435/hermes-cca%2F2021-03-03%2F8d1c6892-8996-4648-ab6a-019898d0cf74%2F288a6379-c658-4648-b3f1-a190af421271.flac,silent
scripts/435/hermes-cca%2F2021-03-03%2F851cf06e-1d17-4c58-af5b-ec6c28c61427%2F421c3e28-4903-4d2b-b4c4-b0094b99d88b.flac,confirm
scripts/435/hermes-cca%2F2021-03-03%2F2d06e969-50e5-4f38-a18b-597b911240cd%2F58d1d688-c365-4a4c-83ef-e2d13bf755c9.flac,confirm
scripts/435/hermes-cca%2F2021-03-03%2F1421ccb2-c408-49ad-b579-809c44988d09%2Ff9f47b95-7c1e-4c0c-9b9c-df3d1304cfc5.flac,other
scripts/435/hermes-cca%2F2021-03-03%2F30acde0b-ed0e-4e2f-ad52-8dc4b54632a2%2Fbdc47a76-0178-4463-a376-5c41ce896b49.flac,confirm
scripts/435/hermes-cca%2F2021-03-03%2Ffefeb4ec-b6c4-46a4-8a84-a16d4a297860%2Feefc1517-b3cb-414a-98f3-9f92f350136c.flac,confirm
scripts/435/hermes-cca%2F2021-03-03%2F8a4e64e6-7e56-42b0-bb1c-01f3c45110a8%2Fd8ea5a68-f31b-40af-bcb1-9210fa93acab.flac,other
scripts/435/hermes-cca%2F2021-03-03%2F68b852fd-2034-496d-a56a-0a81b6d65a33%2Fc67782ff-17a9-4c8f-8098-9a3fceebd937.flac,confirm
scripts/435/hermes-cca%2F2021-03-03%2F56580209-0921-4444-b243-e8c9a632a36d%2F138110c9-0d0b-4113-9506-e79051dd37de.flac,other
scripts/435/hermes-cca%2F2021-03-03%2Fc65da7db-4b2b-41b6-a246-757ac755cfa9%2Fc3a554de-c6cd-4814-86b1-78b13127de61.flac,confirm
scripts/435/hermes-cca%2F2021-03-03%2F444a8004-c47d-4ae2-b9cb-e3db8dc689d1%2F1880f696-11c3-4493-bb58-ed2be5f52bf7.flac,silent
scripts/435/hermes-cca%2F2021-03-03%2Fe640a5b7-c6d1-42a2-9024-b7c59d7ccdb3%2F09129f37-0669-4195-b6a8-3f10e6dde17f.flac,silent
scripts/435/hermes-cca%2F2021-03-03%2F2dc33131-af37-4e04-8935-80b604fbc44f%2F6f53b6b0-d425-4b73-af70-5a78590860d2.flac,other
scripts/435/hermes-cca%2F2021-03-03%2Fead64701-dc9a-4c6c-9d82-767a947f4eb5%2Fe8c17811-d7d0-4cfe-b798-adc96681fc19.flac,other
scripts/435/hermes-cca%2F2021-03-03%2Fcb027169-1302-4c02-96f4-5ff6f8fdfb23%2F837d9aa9-92bc-498d-a095-6d4358074f6c.flac,other
scripts/435/hermes-cca%2F2021-03-03%2Faf1fac19-c205-499a-a92a-a077056b53cf%2F1f88c1cf-e96a-4840-ad79-96dd03633d0b.flac,silent
scripts/435/hermes-cca%2F2021-03-03%2F6074d376-a48a-4787-b571-f43d58bda7ca%2F7287b525-2f6d-4b5e-8a10-dc934986c01a.flac,other
scripts/435/hermes-cca%2F2021-03-03%2Fd2ef5105-a0e9-4b86-9ab8-e09b9797d9d0%2F11b57747-6ddd-4578-930b-b90221433ea9.flac,other
